Sitio;Especie;Tratamiento;Superficie;Nac;Ndc;Dgac;Dgdc;Hoac;Hgac;Hgdc;ABac;ABdc
Lubia;Pinus pinaster;A;0,080;1336,3;1296,1;20,1;20,3;11,5;10,0;10,1;42,1;41,6
Lubia;Pinus pinaster;D;0,080;914,7;743,3;23,0;23,8;11,8;11,0;11,2;36,6;33,3
Lubia;Pinus pinaster;E;0,081;793,6;577,3;23,7;24,6;12,2;11,0;11,3;32,2;27,1
Lubia;Quercus pirenaica;A;0,080;2187,6;2101,8;5,1;5,1;6,8;5,3;5,3;4,5;4,3
Lubia;Quercus pirenaica;D;0,080;2243,7;2172,1;6,3;6,3;7,7;6,1;6,2;7,2;7,0
Lubia;Quercus pirenaica;E;0,081;2383,4;2300,8;5,5;5,6;7,6;5,4;5,4;5,7;5,5
