sitio;inventario;arboles;variable;anova_p;tukey_variable;tukey_p;bartlett_p
Sanpablo_incrementos;2-3;Pinus pinaster;Hi;0,17457628898581912;E-D;0,83575518789609049;0,58897536480004942
Sanpablo_incrementos;2-3;Pinus pinaster;ABi;0,59061881587325515;D-A;0,74984523091354949;0,01588666993947879
Sanpablo_incrementos;2-3;Pinus pinaster;ABi;0,59061881587325515;E-A;0,57976940921715370;0,01588666993947879
Sanpablo_incrementos;2-3;Pinus pinaster;ABi;0,59061881587325515;E-D;0,95143797273346120;0,01588666993947879
Sanpablo_incrementos;2-3;Pinus pinaster;Vi;0,00929014666106770;D-A;0,03650106443482271;0,27791028704214632
Sanpablo_incrementos;2-3;Pinus pinaster;Vi;0,00929014666106770;E-A;0,00882054002484123;0,27791028704214632
Sanpablo_incrementos;2-3;Pinus pinaster;Vi;0,00929014666106770;E-D;0,46004514431392352;0,27791028704214632
Sanpablo_incrementos;2-3;Pinus pinaster;Wi;0,55055451378168263;D-A;0,59016235045866861;0,52707855124282599
Sanpablo_incrementos;2-3;Pinus pinaster;Wi;0,55055451378168263;E-A;0,62376967767309832;0,52707855124282599
Sanpablo_incrementos;2-3;Pinus pinaster;Wi;0,55055451378168263;E-D;0,99802114345228188;0,52707855124282599
Sanpablo_incrementos;2-3;Quercus pirenaica;Dgi;0,28128003820552572;D-A;0,42231643099724769;0,36464663931837743
Sanpablo_incrementos;2-3;Quercus pirenaica;Dgi;0,28128003820552572;E-A;0,28821823676857106;0,36464663931837743
Sanpablo_incrementos;2-3;Quercus pirenaica;Dgi;0,28128003820552572;E-D;0,94295009696026866;0,36464663931837743
Sanpablo_incrementos;2-3;Quercus pirenaica;Hi;0,24856101450221471;D-A;0,49031193696572717;0,28983515528142845
Sanpablo_incrementos;2-3;Quercus pirenaica;Hi;0,24856101450221471;E-A;0,23182539659676737;0,28983515528142845
Sanpablo_incrementos;2-3;Quercus pirenaica;Hi;0,24856101450221471;E-D;0,80255798515776611;0,28983515528142845
Sanpablo_incrementos;2-3;Quercus pirenaica;ABi;0,23288157103769144;D-A;0,37493174622130632;0,25277325210710300
Sanpablo_incrementos;2-3;Quercus pirenaica;ABi;0,23288157103769144;E-A;0,23709764440231995;0,25277325210710300
